,Date,Ta (°C),Tm (°C),I3 (W/m2),I15 (W/m2),P (kW)
107,2012-03-10 12:54:00,13.586833333333333,15.605666666666666,329.4790000000001,334.1105,295.29826666666673
108,2012-03-10 13:54:00,13.978500000000002,16.4025,329.2295,344.7521666666667,305.80086666666654
109,2012-03-10 14:54:00,14.225500000000002,17.27316666666667,167.085,174.09366666666665,148.75664999999995
110,2012-03-10 15:54:00,13.556,14.7125,63.49350000000002,63.48166666666668,52.814500000000024
111,2012-03-10 16:54:00,12.872333333333332,12.772666666666666,14.281999999999998,14.295166666666661,10.206866666666663
112,2012-03-10 17:54:00,12.486833333333331,11.734833333333334,0.0,0.0,0.0
113,2012-03-10 18:54:00,12.246666666666668,11.144833333333333,0.0,0.0,0.0
114,2012-03-10 19:54:00,11.811166666666667,10.683166666666665,0.0,0.0,0.0
115,2012-03-10 20:54:00,11.310000000000002,9.655166666666666,0.0,0.0,0.0
116,2012-03-10 21:44:00,11.274199999999999,9.4468,0.0,0.0,0.0
123,2012-03-11 04:54:00,11.496000000000002,10.062166666666666,0.0,0.0,0.0
124,2012-03-11 05:54:00,11.276333333333334,9.783333333333333,13.932833333333333,14.21516666666667,8.6707
125,2012-03-11 06:54:00,11.2915,9.934333333333333,115.40283333333332,118.30716666666667,98.52168333333331
126,2012-03-11 07:54:00,12.177833333333332,12.641,215.19733333333338,224.7876666666666,182.70495
127,2012-03-11 08:54:00,13.124333333333333,14.67,254.5703333333334,282.1185,231.34626666666665
128,2012-03-11 09:54:00,13.153,15.073833333333333,290.7703333333333,324.09416666666664,265.02194999999995
129,2012-03-11 10:54:00,13.197499999999998,15.312,401.5038333333335,441.2466666666668,356.9030166666666
130,2012-03-11 11:54:00,13.694833333333333,17.548,350.72550000000007,368.2588333333333,323.97238333333337
131,2012-03-11 12:54:00,13.668,16.78333333333333,431.3426666666666,474.93000000000006,389.5827999999999
132,2012-03-11 13:54:00,13.617333333333335,17.164,491.04883333333333,530.0405,442.8815500000001
133,2012-03-11 14:54:00,13.943333333333335,18.123,375.82466666666664,401.1526666666665,321.9359666666667
134,2012-03-11 15:54:00,13.832833333333333,16.093,174.31249999999994,176.79583333333332,140.02114999999992
135,2012-03-11 16:54:00,13.185333333333332,13.549999999999999,23.232833333333335,24.067499999999992,16.836749999999988
136,2012-03-11 17:54:00,11.966333333333337,10.281833333333333,0.0,0.0,0.0
137,2012-03-11 18:54:00,11.115499999999999,8.866333333333332,0.0,0.0,0.0
138,2012-03-11 19:54:00,11.158499999999998,9.159,0.0,0.0,0.0
139,2012-03-11 20:54:00,11.278833333333333,9.520999999999999,0.0,0.0,0.0
140,2012-03-11 21:44:00,10.7432,7.8713999999999995,0.0,0.0,0.0
147,2012-03-12 04:54:00,10.8665,9.9644,0.0,0.0,0.0018
148,2012-03-12 05:54:00,10.141166666666667,9.283499999999998,19.06666666666667,26.092833333333335,13.017833333333332
149,2012-03-12 06:54:00,9.417666666666667,8.447833333333334,69.88966666666667,73.43383333333334,57.688683333333344
150,2012-03-12 07:54:00,8.883000000000001,8.640500000000001,131.49366666666663,132.49949999999995,108.93353333333333
151,2012-03-12 08:54:00,9.428166666666668,9.720166666666666,201.59200000000004,225.23333333333338,160.75475
152,2012-03-12 09:54:00,10.101333333333335,10.971333333333334,587.1931666666666,594.4573333333333,485.9876666666665
153,2012-03-12 10:54:00,11.970166666666666,17.859166666666667,807.9158333333334,763.5216666666671,719.1340333333332
154,2012-03-12 11:54:00,12.358166666666667,20.2385,787.2434999999997,665.3423333333332,746.1410833333334
155,2012-03-12 12:54:00,12.622,19.967,725.2243333333334,806.4678333333335,633.8336833333334
156,2012-03-12 13:54:00,12.737,19.157333333333334,584.8124999999998,639.8386666666668,528.6410833333332
157,2012-03-12 14:54:00,12.709666666666669,17.931666666666665,419.0066666666666,438.94350000000003,355.9494833333334
158,2012-03-12 15:54:00,12.549333333333335,15.138,180.40866666666665,181.11549999999997,127.80009999999996
159,2012-03-12 16:54:00,11.544666666666666,11.816,34.56233333333331,35.23233333333332,21.79741666666667
160,2012-03-12 17:54:00,10.545499999999999,9.314166666666667,0.0,0.0,0.016616666666666665
161,2012-03-12 18:54:00,9.7825,7.764833333333333,0.0,0.0,0.0
162,2012-03-12 19:54:00,9.823333333333334,7.760666666666668,0.0,0.0,0.0
163,2012-03-12 20:54:00,9.988166666666666,8.161833333333332,0.0,0.0,0.0
164,2012-03-12 21:04:00,9.8,7.577,0.0,0.0,0.0
170,2012-03-13 03:59:00,8.868,7.6,0.0,0.009666666666666665,0.019450000000000002
171,2012-03-13 04:59:00,8.640833333333333,7.132333333333334,40.08349999999999,68.50666666666667,30.40906666666666
172,2012-03-13 05:59:00,8.1605,5.856000000000001,213.05599999999998,264.0643333333333,177.4163333333333
173,2012-03-13 06:59:00,8.580166666666667,6.438,456.44550000000015,533.1118333333332,401.25116666666656
174,2012-03-13 07:59:00,10.185333333333332,11.156999999999998,624.8286666666667,727.9235,576.6671666666665
175,2012-03-13 08:59:00,11.25,15.302166666666665,728.2875000000004,840.2405000000001,676.7137666666664
176,2012-03-13 09:59:00,11.956666666666665,18.1105,839.4600000000002,942.0151666666666,749.7672166666667
177,2012-03-13 10:59:00,12.180666666666667,19.549666666666663,830.6613333333333,919.9943333333338,732.80475
178,2012-03-13 11:59:00,12.992333333333333,21.767500000000002,750.8448333333332,825.2639999999999,671.1653499999999
179,2012-03-13 12:59:00,13.125833333333333,21.903666666666666,622.2986666666668,672.1065,552.4016166666665
180,2012-03-13 13:59:00,13.397833333333333,20.582333333333334,448.48100000000005,471.11316666666664,371.6317999999998
181,2012-03-13 14:59:00,13.5,18.333166666666667,224.9496666666667,225.50216666666665,157.2503
182,2012-03-13 15:59:00,13.194166666666668,16.1865,37.32283333333334,36.20433333333333,19.995449999999995
