Date,Ta (°C),Tm (°C),P (kW),I (W/m2)
2013-01-25,8.743333333333332,7.9549166666666675,450.1391666666666,525.6283506666667
2013-01-26,8.699666666666666,7.309916666666666,815.3385833333333,952.1204666666666
2013-01-27,8.746416666666665,7.078666666666667,1911.6978000000001,2336.3991226666662
2013-01-28,10.020916666666668,11.532083333333333,2136.8460999999998,2643.484150666667
2013-01-29,9.442666666666666,7.755833333333333,2226.093283333333,2779.2711520000003
2013-01-30,12.373833333333332,16.104,3167.0381999999995,4074.5848573333337
2013-01-31,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2013-02-01,12.537333333333336,11.203666666666669,3362.77715,4280.182369333333
2013-02-02,13.706833333333332,11.530333333333335,2398.561483333333,2929.9662053333336
2013-02-03,12.08725,10.378333333333334,2206.1405666666665,2636.6840440000005
2013-02-04,11.637333333333332,15.687000000000005,3505.4900999999995,4375.861004
2013-02-05,11.373416666666667,14.543999999999999,3576.0071,4551.207990666667
2013-02-06,12.335916666666666,10.952833333333333,1711.6431833333334,2025.5244853333334
2013-02-07,9.269416666666666,6.777583333333333,1507.4485833333333,1759.8490146666666
2013-02-08,8.99175,9.243083333333333,1792.8887833333333,2133.002882666667
2013-02-09,7.8695,7.804916666666667,1130.95735,1281.2111573333334
2013-02-10,6.499333333333333,6.995416666666667,2377.731133333333,2898.4259039999993
2013-02-11,9.53725,10.411999999999999,2954.062633333333,3666.1976093333333
2013-02-12,13.111333333333333,11.280750000000001,527.0738666666666,629.1673959999999
2013-02-13,9.765416666666669,8.574083333333334,2184.2609166666666,2552.7531839999997
2013-02-14,10.585,9.571166666666667,2158.109766666667,2538.528382666667
2013-02-15,9.263416666666666,7.992666666666667,3310.65465,4121.4541026666675
2013-02-16,10.134083333333333,8.334333333333333,1904.3339333333329,2235.2178959999997
2013-02-17,9.466,8.016333333333332,1157.4946333333335,1308.9338759999998
2013-02-18,11.255333333333336,13.260166666666668,2066.6658,2429.094566666667
2013-02-19,8.467033333333333,7.745333333333334,3366.44055,4083.008848
2013-02-20,12.04215,15.181166666666666,3660.8994666666667,4473.4734186666665
2013-02-21,10.5535,10.236166666666668,728.5679787878787,689.4860441212122
2013-02-22,10.483183333333333,9.487583333333333,2412.344766666667,3073.5117453333332
2013-02-23,14.469916666666668,14.729916666666668,3021.789683333333,3900.7852226666673
2013-02-24,14.718166666666669,13.92475,1357.9110833333334,1755.4180346666665
2013-02-25,10.046166666666666,7.901333333333334,2667.8916166666663,3625.702718666667
2013-02-26,8.872166666666669,8.240083333333335,1140.5892666666664,1320.9573613333337
2013-02-27,9.056833333333335,7.478499999999999,2148.7963,2805.8529719999997
2013-02-28,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2013-03-01,12.805333333333332,14.243500000000004,3068.405716666667,4097.966537333334
2013-03-02,12.356416666666666,11.741499999999998,1599.4412666666663,1967.9891773333331
2013-03-03,12.114,12.525,3985.0562666666665,5298.145904
2013-03-04,11.028833333333331,13.989,3587.591413321093,4985.302768184415
2013-03-05,13.445333333333336,15.1315,3616.743066666667,4828.699646666667
2013-03-06,13.467833333333333,12.954250000000002,769.3126333333335,949.6095093333333
2013-03-07,13.742833333333333,13.128250000000001,237.19156666666674,339.3528826666667
2013-03-08,15.719833333333334,17.271916666666666,3203.107683333333,4152.623256
2013-03-09,15.999499999999998,17.66658333333333,4334.324466666667,6012.711518666667
2013-03-10,16.799749999999996,19.254083333333334,4343.964916666667,6028.973045333333
2013-03-11,15.211166666666665,16.09208333333333,3303.9362,4543.656513333334
2013-03-12,13.7715,13.801750000000002,3842.79125,5215.825837333333
2013-03-13,14.441266666666666,13.837250000000001,2678.6312333333335,3543.6689880000004
2013-03-14,13.934916666666664,12.973583333333334,1656.0688833333336,2145.580032
2013-03-15,9.888416666666668,11.159833333333333,1834.70195,2172.6915999999997
2013-03-16,6.617249999999999,7.3845833333333335,2089.5009969877915,2585.4087872287682
2013-03-17,10.6235,17.78783333333333,4159.6323,5316.695334666666
2013-03-18,13.14241666666667,12.901166666666665,808.8883,945.522892
2013-03-19,15.760916666666667,17.2385,4422.6203000000005,5756.961893333333
2013-03-20,15.916333333333334,16.580166666666663,4227.904083333333,5511.110928000001
2013-03-21,12.860916666666668,12.404416666666666,2130.2239833333333,2651.842478666667
2013-03-22,13.347666666666669,14.875083333333333,4996.3323666666665,6433.921365333334
2013-03-23,15.376916666666666,24.148083333333332,4939.442783333334,6436.346398666667
2013-03-24,15.739250000000002,16.192583333333335,4533.22835,5804.522509333332
2013-03-25,15.508750000000003,15.386500000000002,2206.452333333333,2786.31246
2013-03-26,14.456333333333333,16.039,2648.9736000000003,3299.113381333333
2013-03-27,14.014499999999998,15.472583333333334,3456.475766666667,4448.889949333334
2013-03-28,15.065333333333335,14.90475,1975.974516666667,2552.608268
2013-03-29,17.134583333333335,18.500999999999998,3148.534216666667,4051.9643573333337
2013-03-30,18.25483333333333,20.32375,2774.5351666666666,3453.924969333333
2013-03-31,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2013-04-01,17.183166666666665,19.129166666666663,4868.337033333333,6457.706896000001
2013-04-02,14.640916666666666,14.424,2402.7998201388887,2974.8877179999995
2013-04-03,14.051833333333336,16.426,1514.896855723906,1916.7133563905725
2013-04-04,18.305,33.57566666666667,4458.949933333333,5674.033152
2013-04-05,16.5555,18.114833333333333,4596.729383333334,5889.220707999999
2013-04-06,16.786833333333334,21.014166666666668,5348.907766666666,6995.3304800000005
2013-04-07,12.906666666666666,11.893166666666666,696.8739833333334,818.9059213333334
2013-04-08,13.537,15.350333333333332,4941.270933333334,6182.8373213333325
2013-04-09,17.032833333333333,20.760666666666665,4006.23165,5041.387386666665
2013-04-10,18.070666666666668,23.2395,5558.281733333334,7207.625343999999
2013-04-11,18.364833333333333,20.456166666666668,5120.7980333333335,6749.413102666666
2013-04-12,19.30216666666667,20.936833333333336,5193.885166666666,6688.422033333334
2013-04-13,20.42066666666667,24.0585,5025.867866666667,6563.3399420000005
2013-04-14,19.05033333333333,20.664416666666668,5475.206,7208.2166413333325
2013-04-15,18.9505,20.892916666666668,5832.198566666667,7652.214476000001
2013-04-16,18.592,20.364833333333333,5845.186283333334,7720.007296
2013-04-17,17.359583333333333,20.79415476190476,5590.597083018868,7306.849123345912
2013-04-18,19.30708333333333,22.405291666666663,5619.315986363636,7461.9281984242425
2013-04-19,20.004083333333334,22.442166666666665,5563.522875757576,7361.438533333334
2013-04-20,19.886166666666668,25.570083333333336,5327.079138888888,7078.364638666667
2013-04-21,20.72975,25.19133333333333,4903.04231969697,6438.742428
2013-04-22,17.494416666666666,18.774749999999997,1834.4444925925927,2150.656513481481
2013-04-23,17.304000000000002,18.046916666666668,3646.2770333333333,4530.193110666667
2013-04-24,19.81683333333333,20.626333333333335,5403.516616666667,7021.120170814815
2013-04-25,20.124333333333333,23.789416666666668,5505.489844444444,7252.219999407407
2013-04-26,22.899333333333335,30.800499999999996,5384.3856351851855,7184.14614874074
2013-04-27,20.77375,23.886916666666664,4857.47490701981,6341.472950825151
2013-04-28,24.559583333333336,31.57575,5606.8761300000015,7467.137196594872
2013-04-29,26.30891666666667,35.24616666666667,5540.228918681734,7494.914576796986
2013-04-30,12.4,8.0,0.0,0.0
2013-05-01,26.7855,34.18616666666667,5272.009090740741,7189.947864592593
2013-05-02,25.265083333333333,29.736333333333334,4051.5194870370365,5367.849666074074
2013-05-03,20.00891666666667,21.02258333333333,2826.2277380952387,3572.3734193227515
2013-05-04,24.924166666666665,30.769499999999997,3802.6880145390064,7106.308982780142
2013-05-05,25.41866666666667,30.30775,4442.21724822695,6008.65970967376
2013-05-06,27.084999999999997,33.82633333333334,5214.206518050066,7140.727901523056
2013-05-07,23.727833333333333,29.061999999999998,5223.585537796397,7189.474594103968
