Date,Ta (°C),Tm (°C),I (W/m2),Month,Day,Time,Season,P (kW)
2013-10-17 12:58:00,20.3125,27.21333333333333,763.6131226666666,10,17,12,3,606.5850833333335
2013-10-17 13:58:00,20.5335,26.08033333333334,657.0009133333333,10,17,13,3,536.6119166666666
2013-10-17 14:58:00,20.18883333333333,23.40433333333333,495.938096,10,17,14,3,396.1352
2013-10-17 15:58:00,19.3,20.73283333333333,289.7880440000001,10,17,15,3,200.65280000000004
2013-10-17 16:58:00,18.26783333333333,17.199666666666666,70.772748,10,17,16,3,39.400799999999975
2013-10-17 17:58:00,17.44816666666667,15.521499999999998,1.4023506666666647,10,17,17,3,1.3580666666666663
2013-10-17 18:58:00,17.088666666666665,15.129,0.6459039999999995,10,17,18,3,0.0
2013-10-17 19:58:00,16.9915,14.735666666666669,0.7181626666666655,10,17,19,3,0.0
2013-10-17 20:58:00,16.924500000000002,14.115333333333334,0.7293279999999989,10,17,20,3,0.0
2013-10-17 21:48:00,16.88,14.4198,0.7189861818181807,10,17,21,3,0.0
2013-10-18 04:58:00,15.166166666666667,12.056666666666668,0.7327078260869557,10,18,4,3,0.0
2013-10-18 05:58:00,14.6785,11.003333333333336,0.7209013333333322,10,18,5,3,0.0439
2013-10-18 06:58:00,14.766166666666663,10.890666666666668,63.677327999999996,10,18,6,3,25.008583333333327
2013-10-18 07:58:00,17.2525,16.442333333333334,295.3799946666667,10,18,7,3,196.69605
2013-10-18 08:58:00,19.481333333333332,25.466166666666663,492.76937066666676,10,18,8,3,372.36705
2013-10-18 09:58:00,20.931166666666662,28.03866666666666,650.1899213333334,10,18,9,3,514.8352999999998
2013-10-18 10:58:00,21.51033333333333,31.07733333333333,761.3824666666667,10,18,10,3,608.2896833333335
2013-10-18 11:58:00,21.99416666666667,31.9595,808.9851933333332,10,18,11,3,641.9578
2013-10-18 12:58:00,22.05633333333334,32.63216666666667,769.001572,10,18,12,3,609.4478833333334
